"Codigo Aluno","serie","Matemática","Português","Ciências","L.E. Inglês","História","Geografia","MediaAno","Interpretação gráfica do desempenho"
10001,"4º ano",6.3,6.1,8,,5.7,5.1,6.24,
10001,"5º ano",8,7.5,7.5,,8,8.1,7.82,
10001,"6º ano",7.6,6.6,7.8,8.1,7.6,5.6,7.21,
10001,"7º ano",5.6,5.3,7.3,5,7.3,5,5.91,
10001,"8º ano",7.3,7,7,7,7.3,7,7.1,
10001,"9º ano",7.3,6.5,7,8.2,6.8,6,6.96,
10002,"4º ano",8.5,8.6,9.3,10,8.9,8.4,8.95,
10002,"5º ano",8.7,8.7,9.2,9.7,9,9.2,9.08,
10002,"6º ano",5.3,7.2,7.7,8.5,6.8,7.1,7.1,
10002,"7º ano",6.2,6.9,6.5,6.8,6.2,9,6.93,
10002,"8º ano",7.1,6.6,8,7.5,7.5,8.4,7.51,
10002,"9º ano",7.8,7.8,7.8,6.5,9.5,8.5,7.98,
10003,"4º ano",8.6,7,7.8,,8,7.6,7.8,
10003,"5º ano",9.1,8.3,8.1,,8.8,8.8,8.62,
10003,"6º ano",9.6,8.1,8.3,9.3,7.5,8.5,8.55,
10003,"7º ano",9.8,7.6,8.5,8.6,7.8,7.1,8.23,
10003,"8º ano",8.5,7.5,8.5,8,7.5,9,8.16,
10003,"9º ano",8,7,7.5,7.2,8.5,7.3,7.58,
10004,"4º ano",9.1,9,8.6,,9.6,9,9.06,
10004,"5º ano",8.8,8.8,9,,9.5,9.3,9.08,
10004,"6º ano",9.5,8.3,9.3,9.5,9.3,9.6,9.25,
10004,"7º ano",9.3,8.8,9.5,8.1,9.5,9.5,9.11,
10004,"8º ano",9,8.8,7.2,8.8,8.5,7.3,8.26,
10004,"9º ano",9.8,9.3,9.2,10,9.7,9.2,9.53,
10005,"4º ano",7,7.1,8,,7.6,7.6,7.46,
10005,"5º ano",8.5,8.1,10,,9.3,9.6,9.1,
10005,"6º ano",7.8,7.8,7.6,7.1,6,8.8,7.51,
10005,"7º ano",5,7.3,7,5.6,5,7.1,6.16,
10005,"8º ano",8,7.5,8,9.3,8.5,8,8.21,
10005,"9º ano",3.8,6.2,4.8,4.2,3,5.2,4.53,
10006,"4º ano",8,8,9,,8.8,7.8,8.32,
10006,"5º ano",8.5,7.3,8.6,,8.5,8.6,8.3,
10006,"6º ano",8.6,7.7,8.8,9.6,8.1,7.6,8.4,
10006,"7º ano",8,8.5,9.3,8,8.8,7.5,8.35,
10006,"8º ano",8,6.6,5.2,7.8,7,7.5,7.01,
10006,"9º ano",9.5,8.3,8.8,9.2,8.7,9.5,9,
10007,"4º ano",9.1,9,8.6,,9.3,9.3,9.06,
10007,"5º ano",7.8,8.8,8.8,,9,8.1,8.5,
10007,"6º ano",9,8.7,9.1,8.8,9.3,8.6,8.91,
10007,"7º ano",8.3,8,9.6,7.3,7.8,7.6,8.1,
10007,"8º ano",9.5,8.3,10,8.5,7.5,7,8.46,
10007,"9º ano",9.7,9,9.8,9.7,9.2,10,9.56,
10008,"4º ano",7.7,7.3,7.5,,7.5,7.3,7.46,
10008,"5º ano",8.2,5,7.7,,5.8,6.4,6.62,
10008,"6º ano",5,5.4,7,7.3,5,7.1,6.13,
10008,"7º ano",5.1,5,6.2,5.5,5.4,5.8,5.5,
10008,"8º ano",5.6,5.3,7.6,7.3,6.3,6.5,6.43,
10008,"9º ano",8.5,7.8,9.2,8.8,7.5,9.2,8.5,
10009,"4º ano",6.4,7,7.8,,7.1,7.3,7.12,
10009,"5º ano",7,7.2,9,,7.5,7.7,7.68,
10009,"6º ano",6,6.4,6.9,6.1,6.6,6.5,6.41,
10009,"7º ano",6.1,6.8,6.2,8.5,6.5,6,6.68,
10009,"8º ano",6.2,6,8.3,6.8,7.8,8,7.18,
10009,"9º ano",8.5,7.5,7.2,8.2,6.3,7.8,7.58,
10010,"4º ano",7.8,8.1,9.1,,8.6,8.8,8.48,
10010,"5º ano",8.6,8.6,9.8,,9.6,9.8,9.28,
10010,"6º ano",9.5,9,9.3,9.6,9.5,9.6,9.41,
10010,"7º ano",8.8,9,9,9,9.3,9.1,9.03,
10010,"8º ano",9.5,8.5,7.3,9,7.8,7,8.18,
10010,"9º ano",9,8.8,8.3,9.3,8,9,8.73,
10011,"4º ano",7.2,7.8,7.6,,7.3,7.6,7.5,
10011,"5º ano",8.9,8.5,8.7,,7.9,7.8,8.36,
10011,"6º ano",8.3,8.3,9.2,9.6,7.6,8.1,8.51,
10011,"7º ano",7.1,7.8,8,9.1,7.8,8.1,7.98,
10011,"8º ano",7.3,7.5,8,7.3,8.3,8.3,7.78,
10011,"9º ano",7,8.7,6,8.8,7.7,7.5,7.61,
10012,"4º ano",7.7,7.9,8.3,,8.6,8.5,8.2,
10012,"5º ano",8.5,7.8,9,,8.3,8.7,8.46,
10012,"6º ano",6.5,6.8,7.5,7.8,7,7.9,7.25,
10012,"7º ano",8.3,6.5,7.2,7.9,7.7,8.2,7.63,
10012,"8º ano",7,7.1,6.9,7.7,8,6.1,7.13,
10012,"9º ano",7.8,8,8.3,6.7,8.2,8.4,7.9,
10013,"4º ano",,,,,,,,
10013,"5º ano",,,,,,,,
10013,"6º ano",7.6,7,7.8,8.2,8.6,7.1,7.71,
10013,"7º ano",7.7,8.1,7.9,7.1,9,7.9,7.95,
10013,"8º ano",7.5,8,9.5,7.3,9,9.5,8.46,
10013,"9º ano",7,8.7,8.5,8.2,9,8.8,8.36,
10014,"4º ano",,,,,,,,
10014,"5º ano",,,,,,,,
10014,"6º ano",7.8,7.6,9,8.4,8.5,7.8,8.18,
10014,"7º ano",8.3,7.3,7.8,6.3,7,7.3,7.33,
10014,"8º ano",7.8,8,7,6.5,7,8,7.38,
10014,"9º ano",6.3,7.2,6.3,7.5,7.7,7,7,
10015,"4º ano",7.8,8,8.6,,8.6,8.5,8.3,
10015,"5º ano",8.3,7.5,7.8,,8.1,8,7.94,
10015,"6º ano",7.4,7.7,8.2,9.1,8.6,8.5,8.25,
10015,"7º ano",8,8,7.6,9.1,7.8,8.5,8.16,
10015,"8º ano",7.5,7.3,7.3,7,8.3,7.3,7.45,
10015,"9º ano",6.3,8,6.8,8.2,8.7,8.3,7.71,
10016,"4º ano",,,,,,,,
10016,"5º ano",9,9.5,8.5,,9.5,9,9.1,
10016,"6º ano",7.8,8.3,8.7,6.4,8.3,7.5,7.83,
10016,"7º ano",8.1,7.8,8.6,9,7.8,7.6,8.15,
10016,"8º ano",5.3,6.8,6.4,7.5,6.8,7,6.63,
10016,"9º ano",8.2,9.5,9.3,8.7,9.5,9.7,9.15,
10017,"4º ano",9,7.6,7.6,,8.1,8.5,8.16,
10017,"5º ano",7,7,7.2,,7,7.8,7.2,
10017,"6º ano",5.5,5.3,6.2,7,7,7.1,6.35,
10017,"7º ano",5,7,5.8,5.5,5.3,7,5.93,
10017,"8º ano",5,5,5.2,7.8,5,7,5.83,
10017,"9º ano",6.7,6.7,6.3,6.5,6.7,6.5,6.56,
10018,"4º ano",7.3,7.3,5.9,,8,7.3,7.16,
10018,"5º ano",6.1,7.1,8.3,,7.5,5.6,6.92,
10018,"6º ano",5.2,7.5,8.3,8.1,7.3,6.2,7.1,
10018,"7º ano",7,8.3,8.3,7.5,8.3,7.5,7.81,
10018,"8º ano",7,7,7,7.8,7,7,7.13,
10018,"9º ano",7.2,7.7,9,7.8,8.8,8.7,8.2,
10019,"4º ano",7.3,7,8,,7.1,7.3,7.34,
10019,"5º ano",5.9,7,8,,8,7.6,7.3,
10019,"6º ano",7.8,7.8,8.3,8.8,7,7.1,7.8,
10019,"7º ano",7.5,8,8.3,8,7.6,7.6,7.83,
10019,"8º ano",5,5,5,5,5,7,5.33,
10019,"9º ano",8,7.7,9.3,7.8,8.5,8.5,8.3,
10020,"4º ano",7.5,8.1,8.1,,7.6,8.5,7.96,
10020,"5º ano",7.3,8.6,7.5,,8,8.3,7.94,
10020,"6º ano",8.6,8.6,8.1,9.1,8.5,8.8,8.61,
10020,"7º ano",8.3,8.6,8.8,9.5,7.8,7.8,8.46,
10020,"8º ano",8,9,8,7.5,9,8.3,8.3,
10020,"9º ano",9,9.3,8.5,9.3,8.8,9.2,9.01,
10021,"4º ano",8.6,8.8,8.6,,8.5,8.6,8.62,
10021,"5º ano",8.1,8,8.5,,8.3,8,8.18,
10021,"6º ano",7.3,7.1,7.3,8.5,8,7,7.53,
10021,"7º ano",5.9,7,8.1,8.6,8,7.6,7.53,
10021,"8º ano",7.8,7.5,7,8.8,8.3,7.8,7.86,
10021,"9º ano",7.2,6.3,7.8,6.5,7.3,6.2,6.88,
10022,"4º ano",9.3,8.8,9,,8.1,8.8,8.8,
10022,"5º ano",8.6,8.6,9.3,,9.5,9.1,9.02,
10022,"6º ano",8.8,9,9.5,8.8,8.8,9.5,9.06,
10022,"7º ano",9,9.1,9,9.3,9,8.5,8.98,
10022,"8º ano",8.8,9.8,8.8,9,9,9.8,9.2,
10022,"9º ano",9.7,9.5,9,8.8,8.8,9.3,9.18,
10023,"4º ano",10,9.6,10,,10,10,9.92,
10023,"5º ano",9,8.6,9.3,,9.8,10,9.34,
10023,"6º ano",7.3,7,7.8,7.6,7.8,,7.5,
10023,"7º ano",5.2,6.5,7,6,5.8,7.2,6.28,
10023,"8º ano",7.5,7.5,9,7,8.5,8,7.91,
10023,"9º ano",8.5,7,8.2,7.5,7,7.7,7.65,
10024,"4º ano",7.1,7,7.3,,7.5,7.3,7.24,
10024,"5º ano",7.3,7.8,9.3,,8.8,8.5,8.34,
10024,"6º ano",5.9,7,7,7.5,5.5,5.3,6.36,
10024,"7º ano",7.5,6.3,6.3,6,7,7.5,6.76,
10024,"8º ano",8.8,7.8,7.3,7.5,7.5,7.5,7.73,
10024,"9º ano",7.5,7.2,6.7,9.7,7.8,7.2,7.68,
10025,"4º ano",6,6,8,,8,8,7.2,
10025,"5º ano",7.1,7.1,7.5,,8,8.1,7.56,
10025,"6º ano",8,7,,6,9,6,7.2,
10025,"7º ano",7.6,8,7.6,7,7.5,7.5,7.53,
10025,"8º ano",7.5,8.5,7.8,9.3,8.3,8.3,8.28,
10025,"9º ano",9.7,9,7.3,8.8,8.5,8.5,8.63,
10026,"4º ano",7.8,7.8,8.1,,7.3,7,7.6,
10026,"5º ano",7.1,7,7,,7.6,7.3,7.2,
10026,"6º ano",7.8,5.7,7.6,7,7,7.5,7.1,
10026,"7º ano",5.4,5,7.2,8,7.1,7.1,6.63,
10026,"8º ano",8.8,7.3,8,7.8,7.5,9.5,8.15,
10026,"9º ano",8.5,8.5,7.7,9.5,8.3,8.5,8.5,
10027,"4º ano",8.7,8.1,8.6,,7.9,8.1,8.28,
10027,"5º ano",8.5,8.5,8.2,,7.9,8.9,8.4,
10027,"6º ano",9.3,7,8.1,9.3,8.3,8.8,8.46,
10027,"7º ano",9,7.5,7.1,7.8,6.2,7.1,7.45,
10027,"8º ano",8.8,7.3,7.5,7.3,7.5,7.3,7.61,
10027,"9º ano",9.2,8.5,9,9.8,8.8,8.2,8.91,
10028,"4º ano",8,7.8,8.5,,8.5,8,8.16,
10028,"5º ano",7.3,7.1,7.6,,7.3,7.6,7.38,
10028,"6º ano",7,5.8,8.3,8.8,7.1,7.5,7.41,
10028,"7º ano",5.1,5.2,7,7.6,6.2,8.3,6.56,
10028,"8º ano",7.2,6.7,10,9,5.8,9,7.95,
10028,"9º ano",6,6.8,7.5,7,6.7,6.8,6.8,
10029,"4º ano",7.6,7.8,8,,7.8,7.8,7.8,
10029,"5º ano",5.3,7.8,8.3,,8,8.5,7.58,
10029,"6º ano",7.8,8.5,8.3,8.3,7.5,7.8,8.03,
10029,"7º ano",8.3,7,8.1,8.3,8.5,8.1,8.05,
10029,"8º ano",7.8,7,10,9,7.3,8.3,8.23,
10029,"9º ano",8.2,8.3,8.5,8.2,8.7,9,8.48,
10030,"4º ano",7.6,7.6,7.1,,8,8,7.66,
10030,"5º ano",7.6,7.1,7.3,,6.4,7.3,7.14,
10030,"6º ano",6,5.7,7.3,6.9,8.1,7,6.83,
10030,"7º ano",7.5,7,7,7.6,8.4,5,7.08,
10030,"8º ano",8.3,9,9.5,8.3,9.5,9.8,9.06,
10030,"9º ano",6,6.7,8,7.5,6.2,9,7.23,
10031,"4º ano",7.6,7,8,,7.1,7.1,7.36,
10031,"5º ano",5,6,5,,5.5,5.5,5.4,
10031,"6º ano",7.5,5.1,7.5,7.5,8.6,7.6,7.3,
10031,"7º ano",6.7,5.6,7.8,5,5.9,7.5,6.41,
10031,"8º ano",7,7.2,9.3,8.5,5.2,9.8,7.83,
10031,"9º ano",6,7.7,8,7.7,7.7,8,7.51,
10032,"4º ano",9,8.8,10,,9.8,9.3,9.38,
10032,"5º ano",9.6,9.6,9.8,,9.8,9.6,9.68,
10032,"6º ano",9.1,9.3,9,9.1,9.5,9.5,9.25,
10032,"7º ano",9.3,8.8,9.3,9.5,9.6,8.5,9.16,
10032,"8º ano",9.8,8.8,9,9.8,10,9.5,9.48,
10032,"9º ano",10,9.3,9.2,10,10,10,9.75,
10033,"4º ano",9,8,9,,8.6,8.5,8.62,
10033,"5º ano",8.3,7.1,7.1,,8,8,7.7,
10033,"6º ano",6.9,7,7.3,8.1,7,7.6,7.31,
10033,"7º ano",6.2,5.5,6.1,6.1,7.1,6.2,6.2,
10033,"8º ano",5,5.7,7.2,7,5.3,5.3,5.91,
10033,"9º ano",6.3,7.8,8.3,7.8,9.3,6.8,7.71,
10034,"4º ano",7.3,6.3,7.3,,4,7.3,6.44,
10034,"5º ano",8,6.6,8,,7.6,8,7.64,
10034,"6º ano",7.6,7,6.5,6.8,7.3,6.5,6.95,
10034,"7º ano",4.4,7,7.8,7.8,7.6,7.8,7.06,
10034,"8º ano",7.6,7.5,7.5,7.8,7.8,7.5,7.61,
10034,"9º ano",9,7.8,8.3,8.8,7,8.3,8.2,
10035,"4º ano",7.5,8,9,,8,8.5,8.2,
10035,"5º ano",5.3,6.7,7,,7,7.2,6.64,
10035,"6º ano",5,6.8,6.3,8.5,7,7.3,6.81,
10035,"7º ano",5.2,7.1,8.5,9,7.6,8,7.56,
10035,"8º ano",6.8,7.5,7.3,8,7,7,7.26,
10035,"9º ano",6.5,7,8.5,8.5,7.5,6.2,7.36,
10036,"4º ano",8.1,7.7,8.1,,7.6,7.7,7.84,
10036,"5º ano",6.8,7.2,8.6,,6.8,6.8,7.24,
10036,"6º ano",8.8,7.8,9.6,9.3,8.5,9.3,8.88,
10036,"7º ano",7.5,7.8,8.6,9.6,8.3,8.8,8.43,
10036,"8º ano",6.8,7.8,8.8,8,8.3,8.3,8,
10036,"9º ano",6.8,8,9.3,7.8,9,7.7,8.1,
10037,"4º ano",7,7.9,7.8,,7,7,7.34,
10037,"5º ano",8,8.5,7.5,,8,8.8,8.16,
10037,"6º ano",7,8.8,8.8,9.6,8.6,9.3,8.68,
10037,"7º ano",8.4,8.4,8.4,9.2,9.5,9,8.81,
10037,"8º ano",8.3,9,9,8.5,8.8,8.5,8.68,
10037,"9º ano",7,7.8,9.5,8.5,8.5,7.7,8.16,
10038,"4º ano",8,7.5,8.5,,8,8.5,8.1,
10038,"5º ano",8.3,8.2,8.2,,8.3,8.3,8.26,
10038,"6º ano",7,8,8,8,7.5,7,7.58,
10038,"7º ano",7.6,7.7,7.4,8.4,7.4,7.9,7.73,
10038,"8º ano",7.8,9,8,10,8.8,9,8.76,
10038,"9º ano",7.8,9.7,7.7,8.3,7.8,7.3,8.1,
10039,"4º ano",7.8,8.3,8,,8.6,8.5,8.24,
10039,"5º ano",7.3,7.6,7.1,,8,8.8,7.76,
10039,"6º ano",7.1,6.4,7.1,8.3,7.1,6.2,7.03,
10039,"7º ano",6,5.8,8,8,7.3,6.9,7,
10039,"8º ano",9.5,9.3,8.5,10,9.8,9.3,9.4,
10039,"9º ano",7.8,7,7.7,7.5,8.2,8.8,7.87,
